square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-36,-22,-38,-34,-76,-54,-46,-58,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-38,-32,-60,-54,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-38,-38,-62,-54,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-38,-34,-62,-54,-48,-58,-58,D8:07:B6:6E:4E:F4
s-01,-38,-60,-38,-32,-60,-54,-48,-60,-58,D8:07:B6:6E:4E:0A
s-01,-36,-20,-38,-34,-64,-54,-48,-58,-60,D8:07:B6:6E:4E:F4
s-01,-38,-42,-38,-34,-60,-54,-48,-60,-60,D8:07:B6:6E:4E:0A
s-01,-40,-20,-38,-34,-64,-54,-48,-68,-62,D8:07:B6:6E:4E:F4
s-01,-40,-42,-38,-34,-62,-54,-46,-60,-62,D8:07:B6:6E:4E:0A
s-01,-40,-20,-38,-32,-58,-54,-46,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-38,-32,-60,-58,-48,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-38,-34,-60,-58,-48,-58,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-38,-34,-60,-58,-50,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-34,-60,-58,-50,-58,-60,D8:07:B6:6E:4E:F4
s-01,-38,-60,-40,-28,-68,-58,-50,-68,-62,D8:07:B6:6E:4E:0A
s-01,-38,-20,-38,-28,-62,-58,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-60,-36,-28,-60,-58,-46,-60,-64,D8:07:B6:6E:4E:0A
s-01,-38,-60,-36,-28,-66,-58,-46,-68,-64,D8:07:B6:6E:4E:0A
s-01,-74,-48,-36,-28,-60,-58,-48,-58,-64,D8:07:B6:6E:4E:0A
s-01,-38,-22,-36,-28,-60,-58,-48,-58,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-34,-30,-62,-58,-46,-64,-72,D8:07:B6:6E:4E:F4
