square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-42,-44,-30,-28,-54,-48,-50,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-54,-48,-50,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-52,-48,-50,-48,-76,D8:07:B6:6E:4E:0A
s-03,-42,-40,-28,-28,-52,-48,-50,-50,-50,D8:07:B6:6E:4E:0A
s-03,-40,-76,-28,-50,-52,-56,-50,-50,-56,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-50,-54,-56,-82,-50,-56,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-28,-54,-46,-60,-50,-56,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-44,-54,-46,-46,-50,-56,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-28,-54,-48,-46,-50,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-44,-54,-42,-46,-48,-50,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-44,-54,-42,-48,-44,-50,D8:07:B6:6E:4F:80
